"date","open","high","close","volume"
2011-06-20,242.743000,243.358000,242.533000,6051100.000000
2011-06-21,243.839000,247.217000,246.747000,5525200.000000
2011-06-22,245.971000,246.421000,243.749000,4809300.000000
2011-06-23,241.306000,241.672000,240.350000,9593700.000000
2011-06-24,240.581000,240.616000,237.678000,7603500.000000
2011-06-27,237.237000,244.444000,241.642000,6882500.000000
2011-06-28,242.252000,248.353000,247.072000,5424700.000000
2011-06-29,248.519000,250.375000,249.034000,4681300.000000
2011-06-30,251.246000,253.589000,253.443000,4851900.000000
2011-07-01,253.624000,260.851000,260.776000,7266100.000000
2011-07-05,262.913000,267.968000,266.486000,7690700.000000
2011-07-06,267.017000,269.525000,267.948000,5385800.000000
2011-07-07,270.771000,275.616000,273.574000,7863100.000000
2011-07-08,266.742000,269.094000,266.261000,9530800.000000
2011-07-11,264.354000,268.258000,263.904000,5672900.000000
2011-07-12,264.344000,269.980000,267.272000,5676700.000000
2011-07-13,268.769000,272.272000,269.399000,5574800.000000
2011-07-14,269.830000,271.271000,264.735000,13285700.000000
2011-07-15,299.049000,300.425000,299.109000,27436700.000000
2011-07-18,296.542000,301.326000,297.768000,8927600.000000
2011-07-19,298.368000,302.643000,301.577000,5929000.000000
2011-07-20,301.391000,301.717000,297.973000,4451100.000000
2011-07-21,297.312000,304.334000,303.799000,6932000.000000
2011-07-22,302.998000,310.060000,309.424000,7049300.000000
2011-07-25,306.987000,313.018000,309.800000,6256900.000000
2011-07-26,309.334000,314.064000,311.572000,4681100.000000
2011-07-27,308.899000,310.786000,303.914000,7860900.000000
2011-07-28,302.898000,308.298000,305.776000,6210500.000000
2011-07-29,302.417000,307.788000,302.147000,8266500.000000
2011-08-01,305.916000,308.058000,303.689000,7924200.000000
2011-08-02,303.303000,305.140000,296.496000,6394700.000000
2011-08-03,297.432000,301.802000,300.886000,7643700.000000
2011-08-04,297.548000,299.725000,289.049000,9819300.000000
2011-08-05,291.562000,295.295000,289.810000,11846300.000000
2011-08-08,281.772000,284.785000,273.283000,14978200.000000
2011-08-09,280.781000,287.593000,286.992000,12926400.000000
2011-08-10,280.971000,282.342000,274.780000,10728400.000000
2011-08-11,277.187000,284.535000,281.346000,9651500.000000
2011-08-12,285.035000,285.536000,282.167000,6302200.000000
2011-08-15,276.992000,282.778000,278.894000,14275500.000000
2011-08-16,276.491000,276.496000,269.770000,13864900.000000
2011-08-17,270.285000,272.117000,266.842000,8150000.000000
2011-08-18,261.997000,262.708000,252.693000,12568800.000000
2011-08-19,249.920000,257.693000,245.706000,10809100.000000
2011-08-22,252.252000,253.754000,249.334000,9801900.000000
2011-08-23,252.002000,260.966000,259.670000,8684900.000000
2011-08-24,259.925000,265.265000,261.907000,7181800.000000
2011-08-25,265.455000,268.904000,260.280000,6579400.000000
2011-08-26,260.255000,265.490000,263.694000,7185400.000000
2011-08-29,267.548000,269.995000,269.810000,4666900.000000
2011-08-30,269.364000,271.767000,270.621000,5972000.000000
2011-08-31,272.643000,273.423000,270.751000,5381200.000000
2011-09-01,270.646000,272.187000,266.517000,4826100.000000
2011-09-02,262.497000,264.224000,262.683000,4797500.000000
2011-09-06,255.656000,261.642000,261.351000,5426100.000000
2011-09-07,265.490000,268.238000,267.282000,5506000.000000
2011-09-08,267.167000,269.820000,267.748000,4756200.000000
2011-09-09,265.966000,267.593000,262.688000,6531000.000000
2011-09-12,259.239000,266.261000,265.325000,5335400.000000
2011-09-13,266.266000,267.207000,265.025000,4703600.000000
2011-09-14,266.562000,268.744000,266.301000,5383400.000000
2011-09-15,268.018000,272.763000,271.552000,5915600.000000
2011-09-16,272.673000,273.694000,273.614000,7061500.000000
2011-09-19,270.445000,275.225000,273.609000,4931800.000000
2011-09-20,274.975000,279.540000,273.589000,5552600.000000
2011-09-21,274.119000,277.778000,269.870000,5023500.000000
2011-09-22,263.388000,264.655000,260.591000,8791700.000000
2011-09-23,258.539000,263.473000,263.018000,5549000.000000
2011-09-26,263.889000,266.732000,266.211000,5263100.000000
2011-09-27,269.369000,273.799000,269.940000,6015700.000000
2011-09-28,271.021000,272.282000,264.685000,4522000.000000
2011-09-29,268.288000,268.919000,264.014000,5807300.000000
2011-09-30,260.365000,262.262000,257.778000,5441700.000000
2011-10-03,255.180000,256.256000,248.008000,8939800.000000
2011-10-04,245.260000,251.972000,251.201000,8309200.000000
2011-10-05,248.423000,254.154000,252.603000,9059100.000000
2011-10-06,254.004000,257.873000,257.613000,6841700.000000
2011-10-07,258.674000,260.510000,257.818000,5706000.000000
2011-10-10,262.853000,269.004000,268.854000,4639700.000000
2011-10-11,266.997000,273.674000,271.862000,5701000.000000
2011-10-12,274.339000,277.893000,274.525000,6349200.000000
2011-10-13,275.290000,279.780000,279.775000,11363800.000000
2011-10-14,300.035000,300.100000,296.136000,17042700.000000
2011-10-17,292.152000,296.211000,291.496000,8008300.000000
2011-10-18,290.385000,296.577000,295.551000,7593900.000000
2011-10-19,293.964000,296.326000,290.641000,5857100.000000
2011-10-20,291.241000,294.740000,292.127000,6751200.000000
2011-10-21,295.050000,296.672000,295.541000,6775200.000000
2011-10-24,293.654000,300.285000,298.509000,6846900.000000
2011-10-25,296.847000,297.798000,291.872000,5075900.000000
2011-10-26,295.070000,295.385000,293.448000,5740400.000000
2011-10-27,299.510000,301.652000,299.635000,7553000.000000
2011-10-28,297.558000,301.451000,300.370000,5010900.000000
2011-10-31,297.843000,300.145000,296.617000,5110400.000000
2011-11-01,290.340000,293.048000,289.615000,6243900.000000
2011-11-02,292.743000,294.274000,292.703000,4237500.000000
2011-11-03,293.794000,299.049000,299.049000,5334200.000000
2011-11-04,297.047000,300.170000,298.368000,5663900.000000
2011-11-07,296.957000,304.695000,304.469000,6708000.000000
2011-11-08,304.805000,307.492000,306.476000,6052700.000000
2011-11-09,302.432000,305.000000,300.776000,7414500.000000
2011-11-10,303.268000,303.278000,297.838000,5731000.000000
2011-11-11,300.951000,306.351000,304.479000,7946000.000000
2011-11-14,304.304000,309.349000,306.807000,6371000.000000
2011-11-15,306.707000,309.349000,308.589000,5346600.000000
2011-11-16,306.346000,309.459000,306.041000,5211700.000000
2011-11-17,305.330000,306.451000,300.736000,6979600.000000
2011-11-18,301.301000,302.553000,297.738000,6568800.000000
2011-11-21,294.174000,294.545000,290.761000,5996500.000000
2011-11-22,290.290000,292.778000,290.290000,4805700.000000
2011-11-23,287.963000,290.415000,285.340000,4646900.000000
2011-11-25,282.878000,287.422000,281.782000,3121600.000000
2011-11-28,289.975000,294.705000,294.389000,5652100.000000
2011-11-29,294.234000,295.475000,291.757000,3659900.000000
2011-11-30,299.274000,300.055000,299.995000,6787200.000000
2011-12-01,300.300000,308.308000,307.192000,7233900.000000
2011-12-02,308.834000,312.312000,310.490000,8163200.000000
2011-12-05,314.134000,316.266000,313.138000,6388600.000000
2011-12-06,311.807000,314.625000,312.197000,4648300.000000
2011-12-07,311.151000,313.143000,312.007000,4510000.000000
2011-12-08,310.831000,314.039000,308.333000,4821300.000000
2011-12-09,309.309000,314.880000,314.024000,5526800.000000
2011-12-12,311.251000,313.403000,313.008000,4363400.000000
2011-12-13,314.695000,318.599000,313.128000,8048300.000000
2011-12-14,311.236000,312.472000,309.344000,7799500.000000
2011-12-15,311.572000,312.312000,310.080000,4812300.000000
2011-12-16,312.472000,314.975000,313.293000,8909600.000000
2011-12-19,314.319000,314.565000,311.226000,4282700.000000
2011-12-20,314.314000,316.236000,315.500000,4771600.000000
2011-12-21,315.320000,316.226000,313.223000,4990800.000000
2011-12-22,314.289000,316.181000,315.165000,3640900.000000
2011-12-23,316.316000,317.658000,316.887000,2904400.000000
2011-12-27,316.341000,322.568000,320.445000,3209500.000000
2011-12-28,321.697000,322.823000,320.170000,4250100.000000
2011-12-29,321.066000,321.822000,321.522000,3147600.000000
2011-12-30,321.331000,323.704000,323.273000,3561000.000000
2012-01-03,326.797000,334.409000,333.038000,7345600.000000
2012-01-04,332.848000,335.460000,334.474000,5722200.000000
2012-01-05,331.396000,332.317000,329.835000,6559200.000000
2012-01-06,329.905000,330.330000,325.335000,5380400.000000
2012-01-09,323.574000,323.824000,311.542000,11633500.000000
2012-01-10,315.190000,317.217000,311.882000,8782400.000000
2012-01-11,312.062000,315.010000,313.293000,4795200.000000
2012-01-12,315.926000,316.762000,315.135000,3746600.000000
2012-01-13,313.443000,313.789000,312.808000,4609900.000000
2012-01-17,316.306000,316.306000,314.605000,3814700.000000
2012-01-18,313.629000,317.317000,316.772000,5517800.000000
2012-01-19,320.816000,320.816000,320.105000,12597900.000000
2012-01-20,295.561000,295.796000,293.288000,21131400.000000
2012-01-23,293.293000,294.625000,293.053000,6818900.000000
2012-01-24,293.453000,294.134000,290.756000,6105400.000000
2012-01-25,289.044000,289.645000,285.030000,9965400.000000
2012-01-26,286.276000,287.528000,284.334000,6445900.000000
2012-01-27,285.676000,290.450000,290.280000,7227700.000000
2012-01-30,289.314000,290.290000,289.134000,4656300.000000
2012-01-31,291.792000,292.292000,290.345000,4280500.000000
2012-02-01,292.763000,293.043000,290.706000,4636700.000000
2012-02-02,292.728000,293.499000,292.848000,4824500.000000
2012-02-03,295.626000,298.834000,298.463000,6330600.000000
2012-02-06,297.803000,305.721000,304.850000,7351800.000000
2012-02-07,303.879000,305.000000,303.689000,4180000.000000
2012-02-08,304.625000,305.981000,305.230000,3669100.000000
2012-02-09,306.316000,307.558000,306.036000,4524800.000000
2012-02-10,304.244000,304.369000,303.258000,4645700.000000
2012-02-13,305.556000,307.227000,306.406000,3628900.000000
2012-02-14,306.076000,306.306000,305.185000,3603700.000000
2012-02-15,306.772000,306.772000,303.083000,4846900.000000
2012-02-16,301.712000,304.710000,303.564000,5056700.000000
2012-02-17,302.788000,304.119000,302.623000,4893300.000000
2012-02-21,302.237000,309.249000,307.307000,4956600.000000
2012-02-22,306.286000,308.699000,304.274000,3930000.000000
2012-02-23,303.804000,304.274000,303.358000,4105800.000000
2012-02-24,303.979000,306.131000,305.255000,3867300.000000
